year,winner,jockey,trainer,owner,distance_mi,track_condition,time,wins,triple_crown,odds_high,odds_low,odds,bred_in,sex,starts,win,place,show,wps,wps_ratio,superfecta_payout
1957,Iron Liege,Bill Hartack,Jimmy Jones,Calumet Farm,1.25,Fast,2:02.2,5,F,17,2,17/2,Kentucky,M,33,11,9,5,25,0.758,
1956,Needles,David Erb,Hugh L. Fontaine,D & H Stable,1.25,Fast,2:03.4,1,F,8,5,18/5,Florida,M,21,11,3,3,17,0.810,
1955,Swaps,Bill Shoemaker,Mesh Tenney,Rex C. Ellsworth,1.25,Fast,2:01.8,4,F,3,1,3/1,California,M,25,19,2,2,23,0.920,
1954,Determine,Raymond York,William Molter,Andrew J. Crevolin,1.25,Fast,2:03.0,1,F,4,1,4/1,Kentucky,M,44,18,7,9,34,0.773,
1953,Dark Star,Henry E. Moreno,Eddie Hayward,Cain Hoy Stable,1.25,Fast,2:02.0,1,F,25,1,25/1,Kentucky,M,13,6,2,2,10,0.769,
1952,Hill Gail,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Fast,2:01.6,5,F,1,1,1/1,Kentucky,M,32,11,5,3,19,0.594,
1951,Count Turf,Conn McCreary,Sol Rutchick,Jack J. Amiel,1.25,Fast,2:02.6,2,F,15,1,15/1,Kentucky,M,45,8,4,6,18,0.400,
1950,Middleground,William Boland,Max Hirsch,King Ranch,1.25,Fast,2:01.6,1,F,8,1,8/1,Texas,M,15,6,6,2,14,0.933,
1949,Ponder,Steve Brooks,Ben A. Jones,Calumet Farm,1.25,Fast,2:04.2,1,F,16,1,16/1,Kentucky,M,41,17,4,4,25,0.610,
1948,Citation,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Sloppy,2:05.4,5,T,2,5,2/5,Kentucky,M,45,32,10,2,44,0.978,
1947,Jet Pilot,Eric Guerin,Tom Smith,Maine Chance Farm,1.25,Slow,2:06.8,1,F,11,2,11/2,Kentucky,M,17,7,3,2,12,0.706,
1946,Assault,Warren Mehrtens,Max Hirsch,King Ranch,1.25,Slow,2:06.6,1,T,8,1,8/1,Texas,M,42,18,6,7,31,0.738,
1945,Hoop Jr.,Eddie Arcaro,Ivan H. Parke,Fred W. Hooper,1.25,Muddy,2:07.0,5,F,7,2,7/2,Kentucky,M,9,4,4,0,8,0.889,
1944,Pensive,Conn McCreary,Ben A. Jones,Calumet Farm,1.25,Good,2:04.2,2,F,7,1,7/1,Kentucky,M,22,7,5,4,16,0.727,
1943,Count Fleet,Johnny Longden,Don Cameron,Fannie Hertz,1.25,Fast,2:04.0,1,T,2,5,2/5,Kentucky,M,21,16,4,1,21,1.000,
1942,Shut Out,Wayne D. Wright,John M. Gaver Sr.,Greentree Stable,1.25,Fast,2:04.4,1,F,2,1,2/1,Kentucky,M,40,16,6,4,26,0.650,
1941,Whirlaway,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Fast,2:01.4,5,T,3,1,3/1,Kentucky,M,60,32,15,9,56,0.933,
1940,Gallahadion,Carroll Bierman,Roy Waldron,Milky Way Farm,1.25,Fast,2:05.0,1,F,35,1,35/1,Kentucky,M,36,6,6,4,16,0.444,
1939,Johnstown,James Stout,Jim Fitzsimmons,Belair Stud,1.25,Fast,2:03.4,1,F,3,5,3/5,Kentucky,M,21,14,0,3,17,0.810,
